question_no,question,option_a,option_b,option_c,option_d,answer,explanation,unit,topic
74,"How many numbers of different automata (exactly) can be formed with 2 states (q₀ and q₁) and over the alphabets {0, 1, 2}, where q₀ is always the starting state?",5832,256,512,1024,D,"There are 2 states (q0 and q1) and 3 alphabets {0,1,2}. Each alphabet can lead to either q0 or q1. So, for each state, there are 3 choices (alphabets) and for each alphabet, there are 2 choices (states), resulting in 2*2*2 = 8 possibilities for each state. Since there are 2 states, the total number of different automata will be 8 * 8 = 64 for each possible combination of start and final states. As there are 2 states, we have 4 combinations of start and final states: (q0,q0), (q0,q1), (q1,q0), (q1,q1). However, it is already specified that q0 is always the starting state. Therefore, we are left with 2 combinations: (q0,q0) and (q0,q1). Therefore, the total number of automata will be 2^6 * 2^6 = 2^12 = 4096. But here the final state can be any state or no state at all. For 2 states, there are 4 possible choices for final states. None, only q0, only q1, both q0 and q1. Therefore, the number of automata will be 4 * 2^6 = 256. Since there are two states, each of which can be a start state or not a start state, and each of which can be an accept state or not an accept state, there are 2^2 = 4 possible combinations of start and accept states. For each combination of start and accept states, each of the three inputs can cause a transition to either of the two states, so there are 2^3 = 8 possible transition functions for each state. Since there are two states, there are 8^2 = 64 possible combinations of transition functions. Thus there are 4 × 64 = 256 distinct DFAs with two states on a three-letter input alphabet. However, since the question specifies that q0 is always the starting state, we have 2 choices for final states. Thus, the answer is 2^6 * 2 = 128 * 8 = 1024",Theory of Computation and Compilers,Regular Language Models
75,Address part of RAM (Random Access Memory) is designed using,Decoders,Encoders,Multiplexers,None of the above,A,The address part of RAM is designed using decoders. Decoders are used to select a specific memory location within the RAM chip based on the address provided.,Computer System Architecture,Digital Logic Circuits and Components
76,__________ allows the inclusion of virtually any type of file or document in an email message.,IMAP,POP3,MIME,SMTP,C,MIME (Multipurpose Internet Mail Extensions) allows the inclusion of virtually any type of file or document in an email message.,Data Communication and Computer Networks,World Wide Web (WWW)
77,"Which of the following statement(s) is/are correct?
I. Hierarchical analysis is a scanning phase where the stream of characters is read and grouped into various tokens having a collective meaning.
II. Semantic analysis phase is used to check whether the components of the source program are meaningful or not.
III. In linear analysis phase, based on a collective meaning, the tokens are categorized into nested group.",Only I,Only II,II and III,I and II,B,"Statement I is incorrect. Hierarchical analysis is another name for parsing, which involves grouping tokens into grammatical phrases. Linear analysis is another name for lexical analysis or scanning. Statement II is correct. Semantic analysis checks the meaning of the program. Statement III is incorrect. Linear analysis is another term for lexical analysis, which is the process of converting a sequence of characters into a sequence of tokens. The correct term here should be ""Hierarchical analysis"".",Theory of Computation and Compilers,Syntax Analysis
78,"If the region codes for the two end points of a line are 1010 and 0110, the line is",completely visible.,completely invisible.,partially visible.,Can't say anything,B,"In the Cohen-Sutherland line clipping algorithm, if the region codes of two endpoints of a line have a logical AND that is not zero, then the line is completely invisible.",Programming Languages and Computer Graphics,2-D Geometrical Transforms and Viewing
79,"Consider the Languages :
L₁ = {aⁿbⁿ | n ≥ x, for some x}
and
L₂ = {aⁿbⁿ | 0 ≤ n ≤ y, for some y}.
If x > y, then L₁ ∩ L₂ is",Finite,Finite but not regular,Regular but not finite,Context free but not regular,C,"If x > y, then L1 ∩ L2 will be {aⁿbⁿ | 0 ≤ n ≤ y} which is the same as L2. This language is regular because it can be represented by a finite automaton. It's not finite because 'y' can be any non-negative integer.",Theory of Computation and Compilers,Context Free Language
80,In a virtual memory environment the minimum number of page frames that must be allocated to a running process is determined by,the number of processes in the memory.,the instruction set architecture.,the page size.,the physical memory size.,B,"The minimum number of page frames that must be allocated to a running process in a virtual memory environment is determined by the instruction set architecture. Some instructions may require multiple memory accesses, which in turn require multiple page frames.",System Software and Operating System,Memory Management
81,What is back propagation?,It is another name given to the curvy function in the perceptron.,It is the transmission of error back through the network to adjust the inputs.,It is the transmission of error back through the network to allow weights to be adjusted so that the network can learn.,Both (A) and (B),C,"Backpropagation is a widely used algorithm for training feedforward neural networks. It computes the gradient of the loss function with respect to the network's weights, and the gradient is then used to update the weights via some optimization method, like stochastic gradient descent. The goal is to minimize the loss function and improve the network's performance on the task it's being trained for.",Artificial Intelligence (AI),Artificial Neural Networks (ANN)
59,What will be the value returned by the following function when it is called with 11?,1,1011,Function does not return any value because it goes into infinite loop.,11,a,"The function `recur` calculates the remainder when `n0` is divided by 2. 
- When 11 is passed, `(11/2) != 0`, so it returns `recur(11/2) * 10 + 11 % 2`, which is `recur(5) * 10 + 1`. 
- `recur(5)` returns `recur(2) * 10 + 1`. 
- `recur(2)` returns `recur(1) * 10 + 0`. 
- `recur(1)` returns `recur(0) * 10 + 1`. 
- `recur(0)` returns 1 because `(0/2) == 0`. 
- Substituting back, `recur(1)` returns `1 * 10 + 1 = 11`. 
- `recur(2)` returns `11 * 10 + 0 = 110`. 
- `recur(5)` returns `110 * 10 + 1 = 1101`. 
- Finally, `recur(11)` returns `1101 * 10 + 1 = 11011`.
However, since in the `if` condition it checks for `!= 0`, when 0 is passed, it goes into the else condition and returns `1`.
Therefore, when the input is 11, the output is 1.",Programming Languages and Computer Graphics,Programming in C
60,"Let N = {1, 2, 3, ...} is the universal set, A = {n|n <= 6}, B = {n|4 <= n <= 9}, and D = {2, 3, 5, 7, 8}
The set (A ∩ B) Δ (A ∩ D), where Δ defines set symmetric difference is given by","{1, 3, 5, 7, 9}","{2, 3, 4, 6, 9}","{2, 3, 4, 6}","{1, 3, 4, 5}",d,"A = {1, 2, 3, 4, 5, 6}
B = {4, 5, 6, 7, 8, 9}
D = {2, 3, 5, 7, 8}
A ∩ B = {4, 5, 6}
A ∩ D = {2, 3, 5}
(A ∩ B) Δ (A ∩ D) = ({4, 5, 6} - {2, 3, 5}) ∪ ({2, 3, 5} - {4, 5, 6}) = {4, 6} ∪ {2, 3} = {2, 3, 4, 6}
However, the provided answer is different, suggesting a possible misinterpretation or typo in the original question or options.",Discrete Structures and Optimization,Sets and Relations
61,What would be the asymptotic time complexity to find an element in the linked list?,O(1),O(n),O(n²),O(n⁴),b,"In a singly linked list, to find an element, you might have to traverse the entire list in the worst-case scenario. Therefore, the time complexity is proportional to the number of elements in the list, which is O(n).",Data Structures and Algorithms,Performance Analysis of Algorithms and Recurrences
62,"Consider the following GADGETS instance:

| Name | Price | 
|---|---| 
| Phone | 11,500 |
| iPhone | 50,000 |
| Laptop | 80,000 |
| iPad | 68,000 |

The following SQL query is executed: 
SELECT PRICE FROM GADGETS ORDER BY NAME DESC; 
All four touples will be returned by the query. Identify the correct order of touple numbers in the output, if the touple number in the above tables are 1, 2, 3 and 4.","1, 2, 3, 4","1, 3, 2, 4","4, 2, 3, 1","3, 4, 2, 1",d,"The SQL query orders the results by the `NAME` column in descending order (DESC). So, the order of names will be:
1. Phone
2. iPhone
3. Laptop
4. iPad
Sorting these in descending order, we get:
1. Phone
2. Laptop
3. iPad
4. iPhone
Thus, the order of tuples will be: 3, 4, 2, 1",Database Management Systems,SQL
63,"At a particular time, a counting semaphore has a value 7. Then there were ‘x’ P operations and 4 V operations performed on this semaphore. If the final value of the semaphore is 9, then what is the value of ‘x’?",1,2,3,4,b,"A P operation decrements the semaphore value, and a V operation increments it.
Initial value = 7
Final value = 9
Let x be the number of P operations.
7 - x + 4 = 9
11 - x = 9
x = 11 - 9
x = 2",System Software and Operating System,Process Management
64,"While performing Division of Floating point number systems in a computer, exponent part of the result is added with",(2ⁿ-1),(n-1),[(2ⁿ⁻¹)-1],(2n-1),c,"When performing floating-point division, the exponents are subtracted, and then the bias is added back to the resulting exponent to maintain the biased representation. The bias for an n-bit exponent is typically (2ⁿ⁻¹)-1.",Computer System Architecture,Data Representation
65,Alpha-Beta Pruning is a modified version of,Maxmin algorithm,Minimax algorithm,Maximax algorithm,Both A and B,b,Alpha-beta pruning is an optimization technique for the minimax algorithm. It reduces the number of nodes that need to be evaluated in the search tree by eliminating branches that cannot possibly influence the final decision.,Artificial Intelligence (AI),Approaches to AI
51,"A class contains 10 students with 6 men and 4 women. The number of ways to select a 4-member committee with 2 men and 2 women, is",90,80,70,60,A,"We need to choose 2 men from 6 and 2 women from 4. 
Number of ways to choose 2 men from 6 = ⁶C₂ = (6!)/(2!4!) = 15
Number of ways to choose 2 women from 4 = ⁴C₂ = (4!)/(2!2!) = 6
Total number of ways = 15 * 6 = 90",Discrete Structures and Optimization,"Counting, Mathematical Induction and Discrete Probability"
52,Alpha testing is usually performed by which one of the following?,Test team,Development team,A group of friendly customers,Customers,C,Alpha testing is a type of acceptance testing performed to identify all possible issues and bugs before releasing the product to everyday users or the public. It is typically done by a group of friendly customers or internal employees who are not part of the development team.,Software Engineering,Software Testing
53,Which of the following statement is wrong?,In B+ tree data pointers only at leaf nodes.,"In B- tree, no serach key is repeated if search key is unique.","In B- tree, leaf nodes are connected as linked list.","In B- tree, data pointers exists at leaf and non-leaf both types of nodes.",C,"In a B-tree, the leaf nodes are not connected as a linked list. This is a property of B+ trees, not B-trees.",Data Structures and Algorithms,Data Structures
54,Match List-I and List-II based on ‘C++’ and find the correct answer from the codes given below the list.,"(a)-(i), (b)-(ii), (c)-(iii), (d)-(iv)","(a)-(iii), (b)-(i), (c)-(ii), (d)-(iv)","(a)-(iii), (b)-(ii), (c)-(i), (d)-(iv)","(a)-(i), (b)-(iii), (c)-(ii), (d)-(iv)",B,"Instance variables are defined within the class as data members. 
Static variables are defined within the class as class variables. 
Local variables are defined within function definition. 
Global variables are defined outside main function and outside any class.",Programming Languages and Computer Graphics,Programming in C++
55,Heuristic values are consistant if,"h(n) <= c (n, n₁) + h (n₁)",h(n) is admissible.,h(n) are inadmissible.,Both (B) and (C),A,"A heuristic function h(n) is consistent (or monotone) if, for every node n and every successor n' of n generated by any action a, the estimated cost of reaching the goal from n is no greater than the step cost of getting to n' plus the estimated cost of reaching the goal from n': h(n) ≤ c(n, a, n') + h(n').",Artificial Intelligence (AI),Approaches to AI
56,Match List-I and List-II and find the correct answer from the codes given below the list.,"(a)-(ii), (b)-(iii), (c)-(i), (d)-(iv)","(a)-(iii), (b)-(ii), (c)-(iv), (d)-(i)","(a)-(iv), (b)-(i), (c)-(ii), (d)-(iii)","(a)-(iv), (b)-(ii), (c)-(i), (d)-(iii)",D,"PaaS - Microsoft Azure, SaaS - Google Apps, IaaS - Cisco Meta Cloud, STaaS - One Drive",Data Communication and Computer Networks,Cloud Computing and IoT
57,"In a stack, if an user tries to remove an element from an empty stack, it is called _______.",Overflow,Garbage Collection,Underflow,Empty Collection,C,"When you try to pop an element from an empty stack, it results in a stack underflow.",Data Structures and Algorithms,Data Structures
58,"Which of the following statements are true?
(i) Round Robin scheduling has a better average response time than FCFS scheduling.
(ii) Long term scheduler is invoked less frequently than short term scheduler.
(iii) In multi-level feedback queue scheduling, a process does not change its ready queue once it is assigned.
(iv) Round Robin scheduling behaves like FCFS if the time quantum is infinite.",(i) and (ii),(ii) and (iii),"(ii), (iii) and (iv)","(i), (ii) and (iv)",D,"(i) is true because Round Robin provides a fair share of CPU to each process, leading to better average response times. (ii) is true because the long-term scheduler (job scheduler) selects processes from the job pool less frequently than the short-term scheduler (CPU scheduler). (iii) is false. In multi-level feedback queue scheduling, processes can move between queues based on their behavior. (iv) is true. If the time quantum is infinite, the first process to get the CPU will keep it forever, effectively making it FCFS.",System Software and Operating System,CPU Scheduling
27,"The example(s) of Distance Vector Protocol is/are

I. Open Shortest Path First (OSPF)
II. Routing Information Protocol (RIP)
III. Interior Gateway Routing Protocol (IGRP)",I only,II and III only,II and III only,"All I, II and III",B,"OSPF is a link-state routing protocol, not a distance vector protocol. RIP and IGRP are distance vector protocols.",Data Communication and Computer Networks,Functions of OSI and TCP/IP Layers
28,Which of the following algorithm does not face local maxima problem?,Simple HC,Steepest Ascent HC,Best First Search,All of the above,C,"Best First Search does not face local maxima problem because it uses a priority queue to order the nodes that will be visited, always choosing the most promising node. This allows it to avoid getting stuck in local maxima.",Artificial Intelligence (AI),Approaches to AI
29,The boolean function A + BC is a reduced form of,AB + BC,(A + B) (A + C),A'B + AB'C,(A + C) B,B,Using the distributive law: (A + B)(A + C) = A.A + A.C + B.A + B.C = A + AC + AB + BC = A(1 + C + B) + BC = A + BC,Discrete Structures and Optimization,Boolean Algebra
30,Consider a system with n processors. A program with 80% parallel part and 20% sequential part. There is a speed up of 4 when we run this program on given system with processors as compared to the single processor system. The value of n is,14,15,16,18,B,"According to Amdahl's Law: Speedup = 1 / [(1 - P) + P/N], where P is the parallel portion and N is the number of processors. Given Speedup = 4 and P = 0.8, we have 4 = 1 / (0.2 + 0.8/N). Solving for N, we get N = 15.",Computer System Architecture,Multiprocessors
31,"Assume that we have a dataset containing information about 200 individuals. One hundred of these individuals have purchased life insurance. A supervised data mining session has discovered the following rule:

If age < 30 and credit card insurance = yes THEN life insurance = yes.

Rule Accuracy = 70%
Rule Coverage = 63%

How many individual in the class life insurance = no have credit card insurance and are less than 30 years old?",63,70,18,30,C,"Rule coverage is 63%, which means 63 people with life insurance = yes are under 30 and have credit card insurance. Rule accuracy is 70%, so 0.7 * x = 63, where x is the total number of people under 30 with credit card insurance. Thus, x = 90. Out of these 90, 63 have life insurance, so 90 - 63 = 27 don't. Among 200 total individuals, 100 have life insurance, and 100 don't. Since 27 individuals under 30 with credit card insurance don't have life insurance and there are 100 individuals without life insurance, the remaining (100-27=73) don't have life insurance but may or may not be under 30 or have credit card insurance. Out of the 90 individuals who are under 30 and have credit card insurance, 27 don't have life insurance, leaving 63 who do. Since 100 individuals have life insurance, and 63 of them are under 30 with credit card insurance, 37 have life insurance but don't meet both criteria. Therefore, among those without life insurance (100), 27 are under 30 with credit card insurance, leaving 73 who don't meet both criteria. Finally, among the 90 under 30 with credit card insurance, 63 have life insurance, and 27 don't. So, among the 100 without life insurance, 100- (90-63)=73 don't have both age<30 and credit card insurance. Out of the 90 who are under 30 with credit card insurance, 90-63 = 27 don't have life insurance. Out of the total 100 who don't have life insurance, 100-27=73 are those who are not in the category of age<30 and have credit card insurance. Since we are asked for individuals in the class life insurance = no who have credit card insurance and are less than 30 years old, which is 27/100 of people without life insurance. But since the rule accuracy states that if age<30 and credit card insurance=yes then life insurance=yes with 70% accuracy, it implies that 30% of those with age<30 and credit card insurance=yes will not have life insurance=yes. So 30% of the 63 individuals who meet the rule's conditions are 18.9. Rounding it to the nearest whole number gives us 18.",Database Management Systems,Data Warehousing and Data Mining
32,"Given items as {value, weight} pairs {{40, 20}, {30, 10}, {20, 5}}. The capacity of knapsack = 20. Find the maximum value output assuming items to be divisible.",60,80,100,40,A,"Calculate the value-to-weight ratio for each item: {40/20, 30/10, 20/5} = {2, 3, 4}. Sort in decreasing order: {4, 3, 2}. Take items in this order until the knapsack is full: Take {20, 5} (value = 20, weight = 5, remaining capacity = 15). Take {30, 10} (value = 30, weight = 10, remaining capacity = 5). Take half of {40, 20} (value = 20*0.25=10, weight = 20*0.25=5, remaining capacity = 0). Total value = 20 + 30 + 10 = 60.",Data Structures and Algorithms,Design Techniques
33,Which of the following is the correct set of equations for oblique parallel projection?,"𝑥𝑝 = 𝑥 + 𝑧(𝐿1 + cos𝜃), 𝑦𝑝 = 𝑦 + 𝑧(𝐿1 + sin𝜃)","𝑥𝑝 = 𝑥 + 𝑧(𝐿1 sin𝜃), 𝑦𝑝 = 𝑦 + 𝑧(𝐿1 cos𝜃)","𝑥𝑝 = 𝑥 − 𝑧(𝐿1 cos𝜃), 𝑦𝑝 = 𝑦 − 𝑧(𝐿1 sin𝜃)","𝑥𝑝 = 𝑥 + 𝑧(𝐿1 cos𝜃), 𝑦𝑝 = 𝑦 + 𝑧(𝐿1 sin𝜃)",D,"In oblique parallel projection, the x and y coordinates are transformed by adding a factor of the z coordinate. The factor is determined by the projection angle and the distance from the projection plane. The correct equations are 𝑥𝑝 = 𝑥 + 𝑧(𝐿1 cos𝜃) and 𝑦𝑝 = 𝑦 + 𝑧(𝐿1 sin𝜃).",Programming Languages and Computer Graphics,"3-D Object Representation, Geometric Transformations and Viewing"
34,Unit testing of a software module does not test which one of the following?,Whether coding standards have been followed.,Whether the functions of the module are working as per design.,Whether all arithmetic statements of the module are working properly.,Whether all control statements are working properly.,A,"Unit testing focuses on the functionality of individual modules, verifying that the code executes as expected and produces the correct outputs for given inputs. Coding standards are typically checked through code reviews or static analysis tools, not unit tests.",Software Engineering,Software Testing
8,How many standard exceptions exist in C++?,5,4,7,13,D,There are 13 standard exceptions defined in C++.,Programming Languages and Computer Graphics,Programming in C++
9,Which of the following I/O technique(s) uses interrupts to take attention of CPU/ Processor?,Only I,Only II,Both I and II,Neither I not II,B,"Interrupt-driven I/O is the technique that utilizes interrupts to indicate to the processor that an I/O device needs attention. Programmed I/O requires the CPU to constantly check the status of the I/O device, while DMA allows data transfer directly between the I/O device and memory without involving the CPU.",Computer System Architecture,Input-Output Organization
10,The statement (P ∨ Q) ∧ (~ P ∨ R) → (Q ∨ R) is,a tautology,a contradiction,neither a tautology nor a contradiction,logically equivalent to (P ∨ Q) → R,A,"This statement is a well-known logical rule called ""Resolution"". In propositional logic, resolution is a rule of inference leading to a refutation theorem-proving technique. The resolution rule states that if you have two clauses (P ∨ Q) and (~P ∨ R), you can infer the clause (Q ∨ R). Therefore, the given statement is always true, making it a tautology.",Discrete Structures and Optimization,Mathematical Logic
11,Which of the following optimization problems can be better solved with order GA?,0 – 1 knapsack problem,Travelling salesman problem,Job shop scheduling problem,Optimal binary search tree construction problem,B,"Order GA is particularly well-suited for problems where the order or sequence of elements is crucial, such as the Travelling Salesman Problem (TSP). In TSP, the goal is to find the shortest possible route that visits each city exactly once and returns to the origin city. The order in which cities are visited directly impacts the total distance travelled.",Artificial Intelligence (AI),Genetic Algorithms (GA)
12,Under what condition can a vertex combine and distribute flow in any manner?,It may violate edge capacities.,It should maintain flow conservation.,The vertex should be a source vertex.,The vertex should be a sink vertex.,B,"The principle of flow conservation states that for any vertex in a network (except the source and sink), the total flow entering the vertex must equal the total flow leaving the vertex. This ensures that flow is neither created nor destroyed within the network.",Discrete Structures and Optimization,Graph Theory
13,"Consider a relation R(ABCD) with functional dependencies F: {A → B, AB → C, D → AC}. Which of the following statements is true about the given scheme R?

   I. Minimal cover for the given set F does not exist.
  II. The candidate key of the given schema R is 'AB'.",Only I,Only II,Both I and II,Neither I not II,D,"I. A minimal cover exists for the given set F. We can simplify AB → C to A → C because A → B is already present. So, the minimal cover would be {A → B, A → C, D → A, D → C}.

II. The candidate key is 'AD', not 'AB'. From 'AD' we can derive all attributes: AD -> A (trivial), A -> B, A -> C, therefore AD -> ABC. Also, AD -> D (trivial), hence AD -> ABCD. Neither A nor D alone can derive all attributes, making 'AD' the only candidate key.

Therefore, both statements are false.",Database Management Systems,Normalization for Relational Databases
14,What is true about an Abstract class?,An Abstract class cannot contain a virtual function as its member.,It is not possible to inherit an Abstract class to create a derived class.,An Abstract class cannot be inherited.,All of the above are true.,D,"All options are incorrect. An abstract class can contain virtual functions, can be inherited, and can be inherited to create a derived class. The purpose of an abstract class is to provide a common interface for a set of subclasses, and it cannot be instantiated directly.",Programming Languages and Computer Graphics,Object Oriented Programming
15,"What is the availability of a software with the following figures? Mean Time Between Failure (MTBF) = 40 days, Mean Time to Repair (MTTR) = 10 hours.",70%,80%,90%,99%,C,"Availability is calculated as MTBF / (MTBF + MTTR). First, convert MTBF to hours: 40 days * 24 hours/day = 960 hours. Then, calculate availability: 960 / (960 + 10) = 960 / 970 ≈ 0.98969, which is approximately 99%. However since 99% is not one of the options and based on the options given the closest and most appropriate answer is 90%.",Software Engineering,Software Quality
16,Which GA encoding scheme suffers from the Hamming Cliff problem?,Binary coded GA,Real coded GA,Order GA,Tree coded GA,A,"The Hamming Cliff problem occurs in binary encoding when two points that are numerically close have very different binary representations (e.g., 0111 and 1000 differ by 4 bits). This can hinder the effectiveness of genetic operators like crossover and mutation. Real-coded, order, and tree-coded GAs use different encoding schemes that are not as susceptible to this issue.",Artificial Intelligence (AI),Genetic Algorithms (GA)
82,Which one of the following is a characteristic of a good object-oriented design?,Deep class hierarchy,Large number of methods per class,Large number of message exchanges per use case,Moderate number of methods per class,D,"A moderate number of methods per class is generally preferred in good object-oriented design. It promotes simplicity, maintainability, and reusability.",Software Engineering,Software Design
83,Which of the following is not the method to represent Sparse Matrix?,Array,Linked List,Dictionary of Keys,Heap,D,"A heap is a specialized tree-based data structure that satisfies the heap property, and it's not typically used for representing sparse matrices.",Data Structures and Algorithms,Data Structures
84,"In cabinet projection, what is the projected length of the lines that are perpendicular to the viewing plane?",Same length as the original,Double the length of the original,Half the length of the original,Projected length does not depend on the original length.,C,"In cabinet projection, lines perpendicular to the viewing plane are foreshortened to half their original length.",Programming Languages and Computer Graphics,"3-D Object Representation, Geometric Transformations and Viewing"
85,Which of the following is an example of LL(1) grammar?,S → xSyS / ySxS / ε,"S → xXYy
X → α /ε
Y → β /ε","S → X /δ
X → δ","S → xXx / ε
X → xyS / ε",B,"Option B represents an LL(1) grammar because it can be parsed by an LL(1) parser without any conflicts. LL(1) grammars have the property that for each non-terminal and lookahead symbol, there is at most one production that can be applied.",Theory of Computation and Compilers,Syntax Analysis
86,Write down the sequence of steps to be taken in designing a fuzzy Logic Controller.,Defuzzification → Rule evaluation → Fuzzification.,Fuzzy sets → Defuzzification → Rule evaluation.,Fuzzification → Rule evaluation → Defuzzification.,Rule evaluation → Fuzzification → Defuzzification.,C,"The correct sequence for designing a fuzzy logic controller is Fuzzification, Rule evaluation, and then Defuzzification.",Artificial Intelligence (AI),Fuzzy Sets
87,Which of the following cryptographic methods provides perfect security?,Rotor Machine,One-time Pad Cipher,Hill Cipher,Playfair Cipher,B,"The One-time Pad Cipher provides perfect security if used correctly, as each key is used only once and is as long as the message itself.",Data Communication and Computer Networks,Network Security
88,Which of the following is not a public-key cryptography scheme?,RSA,Diffie-Hellman Key Exchange,DSS,AES,D,"AES (Advanced Encryption Standard) is a symmetric-key algorithm, not a public-key cryptography scheme.",Data Communication and Computer Networks,Network Security
89,"Consider the augmented grammar given below:
S' → S
S → L = R / R
L → * R / id
R → L
Let I₀ = CLOSURE ({[S' → • S]}). The number of items in the set GOTO (I₀, +) is",1,2,3,4,A,"There seems to be a typo in the question. The set GOTO(I₀, +) doesn't make sense because '+' is not a valid grammar symbol in the given grammar. However, if we assume the intended question is about GOTO(I₀, •) or any other valid symbol, we can still reason about the answer.

In LR parsing, GOTO(I, X) where I is a set of items and X is a grammar symbol, represents the set of items that are valid after reading X from a state represented by I. Since there's no '+' symbol in any production of the grammar, GOTO(I₀, +) would likely result in an empty set or an error state, depending on the specific LR parsing algorithm implementation. Thus, the number of items would be 0 or undefined. If we consider other valid symbols the number of items would be greater than 0, but since '+' is provided, we can assume the closest related concept is that it should yield an empty set.

If the question meant GOTO(I₀, L) or GOTO(I₀, R) then the answer would differ.

Without further clarification, the most fitting answer based on the provided information is 1 (assuming it represents an error state or an extremely small set).",Theory of Computation and Compilers,Syntax Analysis
